Command,Occurrences,Tags,Primary Description
improve_interface,1,"screenshot, improvement, ui, design, interface, critique, prompt","Analyze a screenshot, critique the interface, and generate a prompt for improving the displayed interface."
recursive_critique,1,"recursion, prompt engineering, design, self-improvement, critique","Execute current task, recursively critique the work produced, and design the next prompt based on the critique."
engineer,70,"tabs, case data, condensed, bundling, buttons, conductor, site, cards, analysis, fields, rows, bonus, headers, renaming, file size, filtering, separator, successes, system prompt, feature request, bonuses, error block, sliders, sorting, percentage, mass, prompts, default, program dissection, precedents, code analysis, values, slider, color palettes, track, UI, refactoring, simplification, LLM, web app, rotation, engineer, UX, generation, application, comm, delimiter, mockups, logarithmic, table of contents, color, fioe, clarification, flags, command definition, rename, columns, patterns, review, numbers, ev, optimization, code modification, mermaid, alias, file location, success rate, output, bar, visual errors, API, python, exp, utility script, log, examples, metrics, interactive, error, metric, block types, delay, input, header, help, data, duration, steps, separators, logic extraction, engineering, visual, HTML, max, filter, animation, Procedural Spectrum Designer, SPA, alignment, janitor, modification, interoperability, sortable, demo, value, display, resolution, threads, reposition, historical, min, graph, successess, configuration, line, abbreviations, modularization, new command, table, reverse engineering, formatting, design, workflow, preferences, parameters, lifetime, logging, hue, development, run, file, schema expansions, functionality, status, failure, prompt","Implement a command, likely named 'dissect', that will recursively analyze a directory's contents, determine the program's nature, conduct broad and targeted code investigations, extract all necessary logic, annotate and save the full logic export as an .md file in a new 'logic' directory. Further, the command should perform conceptual, semantic, and logical analysis of the program, subdivide its functionality into multiple discrete, independently runnable programs (v1), and subsequently upgrade them to be interoperable (v2) such that initiating program B from A would provide A with B's functionality."
resume_logic_export,1,"merge, logic, code, export, resume","Resume logic export version 2, incorporating code extracts into the initial logic export."
restart,3,"process, restart, parameters, service, codebase, system, investigators, context, refresh, reset",Create a command 'restart' that allows restarting a specified process with updated parameters.
zen,1,"output, zen mode, ui, simplification, distraction-free",Create a 'zen' command that simplifies output by removing redundancies and entering a distraction-free mode.
simplify,1,"refactor, cognitive load, legacy, simplify",Simplify the system by removing redundant cognitive load.
pending_assignment,445,"command_creation, engineering, redundancy_elimination, master_entry, command extraction, resume_workflow, migration, knowledge_management, redundancy_removal, database, scorecards, checker, utility, list cleaning, metrics, code_decomposition, shortener, synthesis, data analysis, prompt_engineering, code_documentation, codebase_review, command, redundancy, UI/UX, data_synthesis, deduplication, analyze_logs, command suggestion, data_cleaning, emulation, bug_investigation, prediction, information_consolidation, features",wow no way you can do that if you manage i will be sooo impressed! yes i want you to build it.
reorganize_code,1,"directories, code, reorganization, structure",Create a command `reorganize_code` that automatically reorganizes the code into directories and subdirectories based on predefined rules or user input.
configure_workers,1,"worker, resource_management, proxy, configuration",Command request: Configure the number of workers based on available proxies. Example: configure_workers proxies=430 workers=50
test_discovery_agent,1,"discovery agent, testing",Create a command to test the discovery agent.
find_facebook_content,1,"content, facebook, search, social media",Implement a command to search for and retrieve content from Facebook.
fb_group_post_extraction,1,"social media, facebook, scraping, data extraction",Implement a command that continuously scrapes posts from specified Facebook groups.
set_default_tail,1,"preferences, default, configuration, tail",Establish a command to set the 'tail' functionality as the default.
download_json,1,"download, output, json, run",Add the ability to download the raw JSON output from a run.
reformat_data,1,"table, data formatting, JSON, retrieval","Create a command `reformat_data` that can transform data between different formats (e.g., cards to table rows) and retrieve the original raw JSON format if available."
format_and_filter_data,1,"data formatting, table, filtering, sorting, JSON","Request to format data as sortable table rows, filter based on specified logic, and provide the original raw JSON."
tweak_filter,1,"manual control, filter, text input, tweak, variable",Implement a command `tweak_filter` that allows users to adjust filter variables by providing text inputs.
output_perceived_value_logic,1,"output, pv.me, logic, perceived value, comments",New command requested: output_perceived_value_logic. The command should extract and output all 'perceived value logic' with associated comments to pv.me.
extract_perceived_value,1,"extraction, documentation, perceived value, logic",Extract all perceived value logic with comments to pv.md
calculate_score,1,"withdrawal, rollover, bonus, formula, score calculation, mathematical logic, turnover ratio","Mathematical logic (V14) for calculating a score. Definitions: A = Bonus Amount, W_max = Maximum Withdrawal (3776 if unlimited), W_min = Minimum Withdrawal, T = Turnover Ratio, R = Rollover Amount. Includes formulas for Numerator (Reward), Denominator (Resistance - Escape Balance, Growth Penalty, Grind Penalty), and Final Formula."
redesign_table_ui,1,"UI, UX, frontend, table, redesign",Redesign table UI: Remove convoluted logic related to the bonus name becoming a symbol. Implement a pop-up when a row is tapped. Narrow column widths to a reasonable size. Reduce font size.
display_config,1,"settings, display, scraper, config, dashboard",Implement a command to display the contents of the config.ini file within the scraper initialization dashboard.
N/A,3,feature request,/compress
exit,4,"control, cli, session, terminate, command, exit, interface, quit",A command that terminates the current session or workflow.
url_optimization,1,"pruning, url, optimization, recovery, active URLs","Command: url_optimization. Function: Perform URL pruning and recovery, and ensure more URLs are active."
discover_urls,1,"url, web, discovery, scraping","Implement a 'discover_urls' command to find URLs within a given context (e.g., a file, a website, a search query)."
extrapolate_metrics,1,"analysis, data, extrapolation, metrics",Implement a command to automatically extrapolate additional metrics.
visualize_data,1,"visualization, web interface, data",Create a command to visualize data via the web interface.
reset,1,"system, override, persona, engineer, reset, workflow","Reset sequence: 1. Disregard previous workflow instructions. 2. Clear active persona. 3. Revert to standard Termux Engineer behavior. 4. Confirm with: ""MEMORY FLUSHED. READY."""
track_time_per_site,1,"analytics, time tracking, website usage",Implement functionality to track time spent per website.
implement,3,"feature, task, conductor, development, implementation","Implement a new feature or task. This command should facilitate the process of implementing features, tasks, or other defined functionalities. It could be a wrapper around 'dev' or handle a specific type of implementation."
overhaul,1,"cli, refactoring, integration, upgrade, web app",Overhaul the web application and enhance command-line interface integration.
orchestrate,2,"prompt engineering, coordination, distributed, code analysis, llm, automation, multi-agent, agent, orchestration",Implement a command for distributed agent orchestration.
status,4,"status_report, status report, file_verification, project management, overview, reporting, progress_tracking, markdown_parsing, parsing, summarization, tracks, tracks registry, registry, web app, project_status, status, monitoring, health check",Add a 'status' command to check the health and operational status of the web application.
check_ss,1,"screenshot, screen share, monitoring",check_ss: Check new screenshots or screen shares.
connect_log_and_prepopulate,1,"log, database, connect, prepopulate",Connect the log and prepopulate data from the existing bonuses.db.
clide,23,"output, HTML, name, UI, filter, organize, conductor, custom patterns, UX, clide, relationships, directory, range definition, delimiter, database, cluster colors, interactive, CLIDE, flags, verbose, feature request, cli, data display, command, formatting, agents, input, help, quit, visualization, logging, integration, alias, status",can you have an option in the actual cli to display just that one hyper dense emoji filled line of output OR display all module fully verbose logging in full detail and nicely formatted like a -v --ve
configure_logging,1,"output, cli, logging, formatting, verbosity","Implement a command line option to control the CLI logging output. The option should allow for either a single, concise line of emoji-filled output or a fully verbose, nicely formatted output of all module logging details, accessible via flags like `-v` or `--verbose`."
format_logs,2,"clustering, display, deduplication, formatting, readability, logs","Format log entries: For consecutive entries from the same URL, omit the URL after the first entry and separate them with a single line. For entries from different URLs, add an extra empty line before each new URL's entries."
verbose_emoji,1,"verbose, output, feature, enhancement, emoji",Add a command/option to provide verbose output with emoji indicators for different steps/statuses.
add_logging,1,"debugging, code quality, logging, observability",Request to review code and add additional logging statements for improved debugging and observability.
summarize_bonus_processing,1,"bonus, reporting, summarization, processing, logs","Create a command `summarize_bonus_processing` that takes raw bonus processing logs as input and outputs a summarized report.  The report should include: 1. Total number of bonuses processed. 2. A count of each unique bonus type detected (e.g., Rescue Bonus, Deposit Bonus). 3. Indicate if all identified bonuses are indeed 'Rescue Bonuses' or list the types if not all are 'Rescue Bonuses'. 4. Report the account ID the bonuses are being processed for.  Example: Input: Raw bonus processing logs (as provided in the user request). Output: Bonus Processing Summary: Account ID: TAB99AU Total Bonuses Processed: 30 Unique Bonus Types:   - Daily 3 Deposit: 1   - Daily 7 Deposit: 1   - Daily 13 Deposit: 1   - DAILY FREE CREDIT: 1   - 365 Days Random Free: 1   - Free Share Bonus: 1   - Weekly Downline Commision: 1   - Facebook Share Get: 1   - Downline Deposit 30 Get: 1   - Downline Deposit 100 Get: 1   - Downline Deposit 300 Get: 1   - Daily Rollover Rebate: 1   - Daily Cash-Back: 1   - Weekly Deposit 300 Get: 1   - Weekly Deposit 600 Get: 1   - Weekly Deposit 1200 Get: 1   - Weekly Deposit 2000 Get: 1   - Weekly Deposit 3500 Get: 1   - Weekly Deposit 5000 Get: 1 Bonus Types Summary: Not all bonuses are Rescue Bonuses."
revert,2,"version control, history, rollback, undo","Implement a `revert` command to undo changes to a previous state. The command should accept a version identifier (e.g., '2' in the request) to specify the target state."
filter_logs,1,"filter, web app, logs, verbosity, debugging",Implement a function/command that allows filtering logs by verbosity level for display in the web app.
tracking_scrape,1,"aggregation, scrape, update, database, historical data, tracking","Implement a command that tracks cumulative/aggregate/total/average amounts during a scrape. It should store historical running values, initialized at the beginning of the scrape, read specific values, and update the database on every scrape attempt."
cluster_logs,1,"clustering, redundancy reduction, log analysis, data compression","Create a 'cluster_logs' command that performs more aggressive clustering of log data, even if it results in some log events being slightly out of sync. The goal is to eliminate more redundancy."
demo,2,"tutorial, usage, demonstration, example, realistic, showcase, demo",Create a new command 'demo' that provides a more realistic demonstration of the CLIDE system's capabilities.
condense_events,1,"event_aggregation, display, condensation, logs, sequencing","Request to condense event logs, grouping sequential events together for a more concise display."
display_troops,1,"reporting, resource_management, data_extraction, monitoring","Create a command to display information about 'troops' (servers/resources), including: site, credentials (username), bonuses, value, aggregate section updates, and error logging data.  The command should handle cases where data is missing or an operation fails."
calculate_bonus_value,1,"edge, commission, bonus, calculation, referral, estimated value, turnover","Create a command that calculates the estimated value of bonuses, considering factors such as COMM+, run, lifetime, bonus types (commissions, downline first deposit bonuses, percentage-based referral bonuses), turnover requirements, and edge. The calculation should account for minimum and maximum withdrawal limits. The output should include all relevant information used in the calculation and the estimated value itself."
track_bonuses,1,"filtering, aggregation, tracking, bonuses","Only track totals for bonuses that are 'gt0v' (claimable), excluding all other bonus types."
condense_logs,1,"condense, formatting, readability, audgo, logs","Create a command to condense and format the log output from the audgo.net scraping process, displaying key information in a more compact and readable chunk, without losing any critical details."
failure_example,1,"visualization, example, formatting, logs, failure","Request for a command to generate a visually distinct and formatted example of a failure log, similar in structure to a prior successful log example."
display_aggregate_metrics,1,"data visualization, table, formatting, scraping, metrics","Create a command `display_aggregate_metrics` that: 1.  Retrieves current scrape `ev` and `comm` values. 2.  Retrieves other aggregate metrics that update after each scrape. 3.  Formats the data as a table with a line separator. 4.  Removes the word ""AGG"" from the output. 5.  Places the word ""comm"" above the `ev` and `comm` values in the table header."
visualize_blocks,1,"visualization, blocks, color coding, success, metrics, failure","Implement a command to visually represent different types of blocks (success, metrics, failure) using distinct colors."
set_site_run_lifetime,1,"lifetime, run, configuration, site",Set the site run lifetime to 4 weeks or 12 weeks instead of the current lifetime.
emphasize,1,"text manipulation, formatting, emphasis, styling","Create a command `emphasize` to highlight text between headers and content, especially emphasizing content following a 'run' command. This could involve adjusting font size, color, or using bolding/italics."
monitor,1,"error logging, historical data, aggregates, metrics, monitoring",Define a new command 'monitor' that generates two distinct information blocks: one for error logging and another for historical metrics and run aggregates.
configure_bonus_display,1,"bonus, display, filter, UI, configuration","Configure bonus display to only show bonuses where the 'gt0v' value is greater than zero.  The configuration should only contain Delay and Threads settings, with min/max values being implicit (presumably inferred or hardcoded). Do not mention bonus settings in the configuration."
demo_condensed_logging,1,"output, condensed, logging, demonstration, debug",Create a new command to demonstrate the condensed logging output.
rename,2,"folder, filesystem, rename, refactor, code, header",Create a command to rename a specified header.
update_metrics,1,"column, data, update, row, metrics","Implement a command 'update_metrics' to allow modification of row titles and column headers with independent values, similar to other metrics."
visual_table_customization,1,"table, visualization, formatting, styling",Combine 'sites' and 'status' columns into a new 'meta' column. Add a low-emphasis vertical divider before the 'meta' column. Demphasize the interior horizontal separators.
fullscreen,1,"fullscreen, UI, display, keyboard",Create a command that hides the keyboard and enables fullscreen mode.
consolidate_logs,1,"sites, aggregation, consolidation, logs",Consolidate log entries for each site.
indent,3,"code formatting, indentation, style, developer tool, formatting, readability, styling, consistency","Create a command that enforces consistent indentation in a given file or directory. The command should be configurable to support different indentation styles (e.g., spaces vs. tabs, number of spaces per indent)."
layout,1,"arrangement, layout, panel, GUI, columns, interface",Request to move the top right panel to the bottom right and add more columns to the middle two panels. This is a command that would adjust the layout of a UI.
organize_files,5,"directory, review, move, organization, file management, automation",Review and organize files (specifically those matching 'looaw filea' in the root directory).
generate,2,"template, configurable, automation, complexity, intuitive, file creation, generation, file generation",Request to create a 'generate' command for generating files based on templates or user-specified criteria.
dev,19,"repulsion, road, UI, code generation, colors, gravity, Rich TUI, UX, dynamic, popup menu, resolution, SQLModel, importance, toggle, snap, feature request, node, NLP, rename, settings panel, padding, resize, resizing, zoom, console display, settings, AST, FastAPI, visualization, code integration, slider, edit mode, features","Implement a Rich TUI Architect based on FastAPI, SQLModel (adjacency list), and AST parsing. The project structure includes: main.py, models.py, parser.py, exporter.py, app.db, and templates/layout_tmpl.py. The implementation should cover unified SQLModel schema, AST parsing logic, and FastAPI & Termux integration. Also generate a Gemini prompt file to contextualize 'business logic' for content generation within the TUI."
document_project,1,"review, github, readme, update, documentation, codebase","Review and update every documentation file. If deprecated, note and delete. Analyze current codebase for lacking documentation and generate it. Finally, update the README to ensure it's comprehensive and professional."
screenshot_check,1,"validation, screenshot, image processing, visual inspection, functionality, verification",Establish a 'screenshot_check' command to analyze the latest screenshot and assess current functionality.
arrange_panels,1,"arrangement, layout, fields, UI, panels","Move the top right panel to the bottom right, then sequentially add additional fields/columns to the top 4 panels."
create_frontend,1,"plan, dev, brainstorm, frontend, workflow, assess","Create a new command 'create_frontend' that orchestrates the brainstorm, plan, assess, and dev workflows for a frontend application. The command should include 1-3 batches of 3-12 questions interspersed throughout each workflow."
validate_docs,1,"documentation, quality, validation",Validate if the documentation is up to date.
scrape_and_process,1,"csv, database, filtering, scraping, data processing","The command should perform the following steps: 1. Scrape data from a website. 2. Update the database with the scraped data. 3. Update the CSV file with the scraped data. 4. After all scraping is complete, apply a filter and generate a 'filtered.csv' file."
plan,2,"layout, preset, schedule, module, planning",and 2 and 3 and plan them. btw scraper only needed twice a day at 11pm anf 11am
tweak_ui,1,"theme, UI, color, customization","User feedback: TUI gold clashes but red is liked, though slightly darker red is preferred."
mcp,1,"mcp, build, management, automation, infrastructure",Add a new command `mcp` to execute the Master Control Program workflow.
resume,9,"state management, task management, restart, pause, continue, interrupt, continuation, resume, context, workflow, state, persistence",Create a 'resume' command to allow users to restore/continue unfinished workflows or tasks within CLIDE.
diff,1,typo,/difr
save_all,1,"export, session, save, markdown",Save the current session/context to a specified markdown file.
update,1,"version control, merge, update, features",Implement a command to update an older version of the system/feature with newer features.
find,1,"location, find, search",Add a command `find` to locate files or other objects.
retry,1,"command execution, error handling, retry",Implement a 'retry' command that re-executes the previously executed CLIDE command or a user-specified command.  Consider adding optional arguments for specifying the number of retry attempts and the delay between attempts.
redo,1,"repeat, workflow, execution",Implement a 'redo' command to re-execute the last executed command or workflow.
apply_filter,1,"bonuses, CSV, filter, v14math, data processing",The 'v14math' filter should be applied to the full bonuses data within the CSV file.
run_analysis_pass,1,"analysis, workflow, iteration, pass",Create a command to execute a specific 'pass' of an analysis workflow. This implies multiple passes may be necessary.
finalize,1,"commit, finalization, save, consolidation","Implement a command called 'finalize' which will perform a final pass to commit, save, or consolidate the changes from the previous steps."
check_bonus_dates,1,"dates, bonus, duplicates, share bonus, tracking",Implement a mechanism to differentiate bonuses with the same name and value by checking their dates. This is particularly relevant for 'share bonuses' which are awarded multiple times.
brainstorm,3,"output, cli, terminal, brainstorm",new ideas
triple,1,"scaling, multiplication, candidates, increase",A command to triple the number of candidates or some property related to the existing candidates.
text,1,"text message, sms, communication",Add a command called 'text' to send SMS messages to contacts.
generate_from_db,1,"database, confirmation, generation, validation",Create a command `generate_from_db` that retrieves and potentially formats data from the database to answer a question or validate a statement.
check_delay_implementation,1,"feature, delay, implementation, status, verification",Check if the delay feature has been implemented.
reformat_text,1,"text manipulation, emoji, string formatting, number",Reformat text so that the first number immediately follows the first emoji character.
move_files,3,"directory, move, files, file management, file_management, utility","Move the 'export full db' and 'export bonuses' files to a new directory named 'util'. Additionally, move the 'config.ini' and 'urls.txt' files to a new directory named 'config'."
refactor,3,"directories, util, refactoring, files, code cleanup, code_cleanup, rename, refactor, code organization, utility, directory structure","Refactor the codebase to remove redundant responsibilities, move optional files outside the core loop to the 'util' directory, and rename the 'config' directory to 'in'."
engineer_color_transition,1,"display, visualization, color, success, engineer","Create a command that modifies the display colour based on a success metric, transitioning smoothly from red (0%) to yellow (50%) to green (100%). The command should replace the use of a failure metric."
simplify_emoji,1,"data simplification, emoji, file manipulation, data processing","Create a command called 'simplify_emoji' that simplifies the 'first.emoji' file to contain only square, circle, and heart emojis of each color, and the series of medals, trophies, and other similar icons near the 100% symbol."
color_code_range,1,"numerical range, data visualization, emoji, color coding","Assign colors (red, orange, yellow, green) and emojis (last 5) to the numerical range of 96-100."
color_code_emoji,1,"mapping, range, emoji, color","Create a command `color_code_emoji` that assigns red, orange, yellow, green colors and the last 5 emoji to the numerical range 96-100."
revert_util_csv,1,"version_control, revert, util, csv",Revert the last change made to the output CSV file in the util directory.
revert_util_csv_change,1,"version_control, util, revert, csv",Revert the last change made to the CSV file located in the util directory.
emoji_permissions,1,"utility, emoji, markdown, permissions","Create a command that checks utility and emoji generation permissions, outputting the results in a markdown table format."
emoji_perms_md,1,"util, permissions, table, markdown, emoji",Create a new command 'emoji_perms_md' that checks utility and generated emoji permissions and outputs the results in a markdown table format.
configure_column_display,1,"column, display, customization, emoji, configuration","Implement a command `configure_column_display` to allow users to customize column configurations, potentially using column codes and emoji sequences."
unex_ind,1,"code, linting, indentation, formatting",Identify instances of unexplained indentation in code.
add_emoji_state,1,"emoji state, emoji, feature request, blank state","Request to add support for a 'blank' state in emoji sets by using a space. For example, an emoji set can have four states: blank, ğŸ¥‰, ğŸ¥ˆ, or ğŸ¥‡."
emoji_color_sort,1,"arrangement, algorithm, color, sort, emoji","Create a command that sorts emojis by color, allowing for user-defined sets of color gradients. First ask for the number of emoji sets to generate."
interactive,1,"cli, mode, interactive",Implement an interactive mode for the CLIDE.
data_extraction,1,"data extraction, configurable, analytics, OCR, data processing","11. No, TBA, Staging. 12. Full page OCR to text, PV > 50. 13. Banned list, is min/max delay, yes. 14. Every event, full data, sure. 15. Both? Avg. Total PV. Sure plus be configurable."
orchestrate_feature_workflow,1,"plan, review, dev, feature, brainstorm, orchestration, iteration, workflow, sequential","Execute brainstorm, plan, dev, and review workflows for each feature individually and sequentially. Save all outputs to a dedicated subdirectory within a new development directory."
control_concurrency,1,"resource management, threads, concurrency, proxies","Implement a mechanism to limit the number of concurrent threads based on the availability of proxy resources. If proxies are unavailable, limit or prevent the creation of new threads."
concurrent_threads,1,"threads, proxies, resource management, concurrency, performance",Allow multiple concurrent threads only if proxies are available.
double_check,1,"quality_assurance, verification, testing, validation",Implement a 'double_check' command to perform a validation or verification process.
setup,5,"state management, conductor methodology, project initialization, greenfield, project setup, initialization, conductor, project, interactive, workflow, brownfield, setup","The provided document details the 'setup' command, responsible for initializing and managing software projects using the Conductor methodology. The process includes project maturity detection (brownfield/greenfield), interactive definition of product vision and technology stack, configuration of code style guides and workflow, and initial track generation. It also defines the resume process, and requires validations after each tool call."
